Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
473,"N Batra, J Kelly, O Parson, H Dutta, ...","NILMTK: An open source toolkit for non-intrusive load monitoring",2014,"Proceedings of the 5th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2602044.2602051","https://scholar.google.com/scholar?cites=5441685013735214345&as_sdt=2005&sciodt=2007&hl=en",1,"2022-05-04 15:31:42","","10.1145/2602044.2602051","","",,,,,473,59.13,95,5,8,"… algorithm compatible with NILMTK. This allows the … present NILMTK and describe its components. In Section 4 we demonstrate the empirical evaluations which are enabled by NILMTK, …","https://arxiv.org/pdf/1404.3878","https://scholar.google.com/scholar?q=related:CQ1BT7C_hEsJ:scholar.google.com/&scioq=nilmtk&hl=en&as_sdt=2007"
91,"O Parson, G Fisher, A Hersey, N Batra, ...","Dataport and NILMTK: A building data set designed for non-intrusive load monitoring",2015,"2015 ieee global …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/7418187/","https://scholar.google.com/scholar?cites=8245813408405932156&as_sdt=2005&sciodt=2007&hl=en",2,"2022-05-04 15:31:42","","","","",,,,,91,13.00,18,5,7,"… load monitoring toolkit (NILMTK) was released in … in NILMTK format, containing one month of electricity data from 669 households. Through the release of this Dataport data in NILMTK …","https://www.academia.edu/download/41191933/Dataport_and_NILMTK_A_Building_Data_Set_20160114-16169-1f1davq.pdf20160115-19908-1jyj1b.pdf","https://scholar.google.com/scholar?q=related:fEgwVJsDb3IJ:scholar.google.com/&scioq=nilmtk&hl=en&as_sdt=2007"
47,"J Kelly, N Batra, O Parson, H Dutta, ...","Nilmtk v0. 2: a non-intrusive load monitoring toolkit for large scale data sets: demo abstract",2014,"Proceedings of the 1st …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/2674061.2675024","https://scholar.google.com/scholar?cites=10945807506252285516&as_sdt=2005&sciodt=2007&hl=en",3,"2022-05-04 15:31:42","","10.1145/2674061.2675024","","",,,,,47,5.88,9,5,8,"In this demonstration, we present an open source toolkit for evaluating non-intrusive load monitoring research; a field which aims to disaggregate a household's total electricity …","https://www.researchgate.net/profile/Nipun-Batra/publication/265967167_NILMTK_v02_A_Non-intrusive_Load_Monitoring_Toolkit_for_Large_Scale_Data_Sets/links/54242c760cf238c6ea6e9739/NILMTK-v02-A-Non-intrusive-Load-Monitoring-Toolkit-for-Large-Scale-Data-Sets.pdf","https://scholar.google.com/scholar?q=related:TMb4_e5R55cJ:scholar.google.com/&scioq=nilmtk&hl=en&as_sdt=2007"
8,"N Batra, R Kukunuri, A Pandey, R Malakar, ...","A demonstration of reproducible state-of-the-art energy disaggregation using NILMTK",2019,"Proceedings of the 6th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3360322.3360999","https://scholar.google.com/scholar?cites=11105932118880834931&as_sdt=2005&sciodt=2007&hl=en",4,"2022-05-04 15:31:42","","10.1145/3360322.3360999","","",,,,,8,2.67,2,5,3,"… a demonstration of a new version of NILMTK [2] which has a … NILMTK-contrib by comparing the performance of the 3 benchmarks and 9 disaggregation algorithms included in NILMTK…","https://nipunbatra.github.io/papers/2019/batra_buildsys19demo.pdf","https://scholar.google.com/scholar?q=related:c1V-nWsyIJoJ:scholar.google.com/&scioq=nilmtk&hl=en&as_sdt=2007"
1,"K Osathanunkul, K Osathanunkul","Simple load disaggregation library based on nilmtk",2020,"2020 Joint International …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9090720/","https://scholar.google.com/scholar?cites=1003668036645123913&as_sdt=2005&sciodt=2007&hl=en",5,"2022-05-04 15:31:42","","","","",,,,,1,0.50,1,2,2,"… function in NILMTK, users or … of NILMTK is needed to be installed. Then the users need to learn how to convert a dataset into NILMTK format and to learn how to deal with NILMTK basic …","","https://scholar.google.com/scholar?q=related:SXel_MK-7Q0J:scholar.google.com/&scioq=nilmtk&hl=en&as_sdt=2007"
3,"R Kukunuri, N Batra, A Pandey, ...","NILMTK-Contrib: Towards reproducible state-of-the-art energy disaggregation",2020,"Proc. AI Social …","aiforgood2020.github.io","https://aiforgood2020.github.io/papers/AI4SG_paper_50.pdf","https://scholar.google.com/scholar?cites=14338565353258129891&as_sdt=2005&sciodt=2007&hl=en",6,"2022-05-04 15:31:42","PDF","","","",,,,,3,1.50,1,4,2,"… NILMTK was introduced in 2014 to the NILM community in order to motivate reproducible research. Even after the introduction of the NILMTK … algorithms for NILMTK, which is similar to …","https://aiforgood2020.github.io/papers/AI4SG_paper_50.pdf","https://scholar.google.com/scholar?q=related:45msRTjR_MYJ:scholar.google.com/&scioq=nilmtk&hl=en&as_sdt=2007"
3,"J Kelly, N Batra, O Parson, H Dutta, ...","Demo Abstract: NILMTK v0. 2: A non-intrusive load monitoring toolkit for large scale data sets",2014,"arXiv preprint arXiv …","arxiv.org","https://arxiv.org/abs/1409.5908","https://scholar.google.com/scholar?cites=8161375911757735969&as_sdt=2005&sciodt=2007&hl=en",7,"2022-05-04 15:31:42","","","","",,,,,3,0.38,1,5,8,"In this demonstration, we present an open source toolkit for evaluating non-intrusive load monitoring research; a field which aims to disaggregate a household's total electricity …","https://arxiv.org/pdf/1409.5908","https://scholar.google.com/scholar?q=related:Iei_oiYIQ3EJ:scholar.google.com/&scioq=nilmtk&hl=en&as_sdt=2007"
61,"N Batra, R Kukunuri, A Pandey, R Malakar, ...","Towards reproducible state-of-the-art energy disaggregation",2019,"Proceedings of the 6th …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3360322.3360844","https://scholar.google.com/scholar?cites=58740481868715791&as_sdt=2005&sciodt=2007&hl=en",8,"2022-05-04 15:31:42","","10.1145/3360322.3360844","","",,,,,61,20.33,12,5,3,"… NILMTK-contrib1; a new repository containing NILMTK-… NILMTK-contrib by comparing the performance of the three benchmarks and nine disaggregation algorithms included in NILMTK-…","https://nipunbatra.github.io/papers/2019/batra_buildsys_19.pdf","https://scholar.google.com/scholar?q=related:D1e4Myiw0AAJ:scholar.google.com/&scioq=nilmtk&hl=en&as_sdt=2007"
0,"MI Hossan","A comprehensive study about machine learning technology and data analysis in different dateset for energy consumption disaggregation by using NILMTK toolkit",2020,"","politesi.polimi.it","https://www.politesi.polimi.it/handle/10589/167380","",9,"2022-05-04 15:31:42","","","","",,,,,0,0.00,0,1,2,"… Tutte le analisi dei dati che abbiamo eseguito con il toolkit NILMTK. Il nostro scopo di questo … All the data analysis that we did perform by the NILMTK toolkit. Our aim of this project was to …","",""
0,"H Shastri, N Batra","Neural network approaches and dataset parser for NILM toolkit",2021,"Proceedings of the 8th ACM International …","dl.acm.org","https://dl.acm.org/doi/abs/10.1145/3486611.3486652","",10,"2022-05-04 15:31:42","","10.1145/3486611.3486652","","",,,,,0,0.00,0,2,1,"… Subsequently, in 2019, an improved version called NILMTK-… network architectures for NILM in NILMTK-contrib and bench… current paper and refer the reader to NILMTK-contrib repo. …","","https://scholar.google.com/scholar?q=related:YoevjtX2JM0J:scholar.google.com/&scioq=nilmtk&hl=en&as_sdt=2007"
